Pruning_Percentage,Batch_Size,CE_Train_Asymptote,CE_Test_Asymptote
0,64,0.378578168274057,0.5271650000000001
10,64,0.5261466878547438,0.5387850000000001
20,64,0.38216070393027746,0.4736071810208623
30,64,0.4614511111111109,0.5388030600038431
40,64,0.5455007950737949,0.44764254711779017
50,64,0.4660810000000001,0.47390763091656607
60,64,0.458465,0.537047519030444
70,64,0.3881525151380556,0.5119597341269398
80,64,0.376052648670287,0.4662999728449714
90,64,0.520812127922259,0.5229923588864951
100,64,2.3,2.3
0,1024,0.39762265088759174,0.4897900580393274
10,1024,0.5010451802242972,0.5636813630985831
20,1024,0.40496557773129904,0.5027550000000002
30,1024,0.4537150000000001,0.5040387500000001
40,1024,0.45643749999999994,0.5028633333333333
50,1024,0.35894470899779396,0.4244723037733329
60,1024,0.45018259780950565,0.48594874650452324
70,1024,0.44395581486126945,0.4886819442167071
80,1024,0.47649322302772656,0.5598631591100856
90,1024,0.5178812435688406,0.5730077885051338
100,1024,2.3,2.3
0,60000,0.6382,0.7105699234619131
10,60000,0.6199700260063303,0.6620885124845178
20,60000,0.5936535820574508,0.6382438428160949
30,60000,0.5828032861427835,0.6290367940397175
40,60000,0.557940213240791,0.5932838584543915
50,60000,0.5312009060949036,0.5730588500870667
60,60000,0.5183669534509132,0.5624679742571089
70,60000,0.4974859284745251,0.5402600764398366
80,60000,0.5001772263658569,0.5375578521151986
90,60000,0.47684236980907424,0.5485873760623654
100,60000,2.3,2.3
