Batch_Size,Pruning_Percentage,Metric,AUC
64,1.0,Avg_CE_Train,
64,0.98,Avg_CE_Train,
64,0.96,Avg_CE_Train,
64,0.94,Avg_CE_Train,
64,0.92,Avg_CE_Train,
64,0.9,Avg_CE_Train,
64,0.88,Avg_CE_Train,
64,0.86,Avg_CE_Train,
64,0.84,Avg_CE_Train,
64,0.82,Avg_CE_Train,
64,0.8,Avg_CE_Train,
64,0.7,Avg_CE_Train,
64,0.6,Avg_CE_Train,
64,0.5,Avg_CE_Train,
64,0.4,Avg_CE_Train,
64,0.3,Avg_CE_Train,
64,0.2,Avg_CE_Train,
64,0.1,Avg_CE_Train,
64,0.0,Avg_CE_Train,
64,1.0,Avg_CE_Test,688.4729428052199
64,0.98,Avg_CE_Test,538.4870665049376
64,0.96,Avg_CE_Test,445.59972710864275
64,0.94,Avg_CE_Test,382.57519516415965
64,0.92,Avg_CE_Test,337.4753314353859
64,0.9,Avg_CE_Test,303.489995546497
64,0.88,Avg_CE_Test,277.7875349742878
64,0.86,Avg_CE_Test,259.1189894239365
64,0.84,Avg_CE_Test,241.8675563573219
64,0.82,Avg_CE_Test,228.27270552652777
64,0.8,Avg_CE_Test,217.41067376747574
64,0.7,Avg_CE_Test,181.29606363705375
64,0.6,Avg_CE_Test,162.2740338094227
64,0.5,Avg_CE_Test,150.2906738194296
64,0.4,Avg_CE_Test,142.4316392219031
64,0.3,Avg_CE_Test,137.65037452127277
64,0.2,Avg_CE_Test,133.85175304847866
64,0.1,Avg_CE_Test,131.53409595766408
64,0.0,Avg_CE_Test,129.9195734342519
1024,1.0,Avg_CE_Train,
1024,0.98,Avg_CE_Train,
1024,0.96,Avg_CE_Train,
1024,0.94,Avg_CE_Train,
1024,0.92,Avg_CE_Train,
1024,0.9,Avg_CE_Train,
1024,0.88,Avg_CE_Train,
1024,0.86,Avg_CE_Train,
1024,0.84,Avg_CE_Train,
1024,0.82,Avg_CE_Train,
1024,0.8,Avg_CE_Train,
1024,0.7,Avg_CE_Train,
1024,0.6,Avg_CE_Train,
1024,0.5,Avg_CE_Train,
1024,0.4,Avg_CE_Train,
1024,0.3,Avg_CE_Train,
1024,0.2,Avg_CE_Train,
1024,0.1,Avg_CE_Train,
1024,0.0,Avg_CE_Train,
1024,1.0,Avg_CE_Test,642.4212409453388
1024,0.98,Avg_CE_Test,479.28996165887315
1024,0.96,Avg_CE_Test,392.7141996098147
1024,0.94,Avg_CE_Test,328.1963908542707
1024,0.92,Avg_CE_Test,284.5404322290367
1024,0.9,Avg_CE_Test,253.94307954649702
1024,0.88,Avg_CE_Test,232.51046318141763
1024,0.86,Avg_CE_Test,215.04548857824307
1024,0.84,Avg_CE_Test,199.05356159411605
1024,0.82,Avg_CE_Test,186.39197349887797
1024,0.8,Avg_CE_Test,176.68002104649702
1024,0.7,Avg_CE_Test,146.18990892947573
1024,0.6,Avg_CE_Test,129.60520195240184
1024,0.5,Avg_CE_Test,120.22903545203008
1024,0.4,Avg_CE_Test,114.18357884142432
1024,0.3,Avg_CE_Test,110.36254877154649
1024,0.2,Avg_CE_Test,107.8531950927433
1024,0.1,Avg_CE_Test,106.30164171424629
1024,0.0,Avg_CE_Test,105.29076244140376
60000,1.0,Avg_CE_Train,
60000,0.98,Avg_CE_Train,
60000,0.96,Avg_CE_Train,
60000,0.94,Avg_CE_Train,
60000,0.92,Avg_CE_Train,
60000,0.9,Avg_CE_Train,
60000,0.88,Avg_CE_Train,
60000,0.86,Avg_CE_Train,
60000,0.84,Avg_CE_Train,
60000,0.82,Avg_CE_Train,
60000,0.8,Avg_CE_Train,
60000,0.7,Avg_CE_Train,
60000,0.6,Avg_CE_Train,
60000,0.5,Avg_CE_Train,
60000,0.4,Avg_CE_Train,
60000,0.3,Avg_CE_Train,
60000,0.2,Avg_CE_Train,
60000,0.1,Avg_CE_Train,
60000,0.0,Avg_CE_Train,
60000,1.0,Avg_CE_Test,412.1627316459343
60000,0.98,Avg_CE_Test,325.67648851423894
60000,0.96,Avg_CE_Test,267.8304796432712
60000,0.94,Avg_CE_Test,228.9654102884325
60000,0.92,Avg_CE_Test,204.14307319165832
60000,0.9,Avg_CE_Test,180.639084046497
60000,0.88,Avg_CE_Test,164.9049703242748
60000,0.86,Avg_CE_Test,152.24169810205257
60000,0.84,Avg_CE_Test,143.76980683221132
60000,0.82,Avg_CE_Test,133.74614334014782
60000,0.8,Avg_CE_Test,127.138352546497
60000,0.7,Avg_CE_Test,104.78379654649702
60000,0.6,Avg_CE_Test,93.91223054649703
60000,0.5,Avg_CE_Test,87.04070054649702
60000,0.4,Avg_CE_Test,83.08390204144652
60000,0.3,Avg_CE_Test,80.42655754649702
60000,0.2,Avg_CE_Test,78.6634423492181
60000,0.1,Avg_CE_Test,77.78832009035668
60000,0.0,Avg_CE_Test,77.54567014243608
